Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary,seasonYear
D'Mitrik Trice,0.0,SR,G,6-0,184,"Huber Heights, OH",IMG Academy,,"13.9 Pts, 3.4 Reb, 4.0 Ast",2021
Micah Potter,11.0,SR,F,6-10,248,"Mentor, OH",Mentor High School,,"12.5 Pts, 5.9 Reb, 1.4 Ast",2021
Brad Davison,34.0,SR,G,6-4,202,"Maple Grove, MN",Maple Grove Senior High School,,"10.0 Pts, 3.5 Reb, 2.4 Ast",2021
Aleem Ford,2.0,SR,F,6-8,217,"Lawrenceville, GA",IMG Academy,,"8.7 Pts, 4.2 Reb, 1.1 Ast",2021
Nate Reuvers,35.0,SR,F,6-11,235,"Lakeville, MN",Lakeville North High School,68 (2017),"8.3 Pts, 3.3 Reb, 0.7 Ast",2021
Johnny Davis,1.0,FR,G,6-5,196,"La Crosse, WI",La Crosse Central HS,,"7.0 Pts, 4.1 Reb, 1.1 Ast",2021
Tyler Wahl,5.0,SO,F,6-9,220,"Lakeville, MN",North HS,,"5.2 Pts, 4.3 Reb, 1.4 Ast",2021
Trevor Anderson,21.0,SR,G,6-3,195,"Stevens Point, WI",Stevens Point High School,,"3.1 Pts, 1.4 Reb, 1.2 Ast",2021
Ben Carlson,20.0,FR,F,6-9,218,"Woodbury, MN",East Ridge HS,,"2.9 Pts, 0.9 Reb, 0.6 Ast",2021
Steven Crowl,22.0,FR,F,7-0,217,"Eagan, MN",Eastview HS,,"0.7 Pts, 0.8 Reb, 0.2 Ast",2021
Jordan Davis,24.0,FR,G,6-4,202,"La Crosse, WI",La Crosse Central HS,,"0.6 Pts, 0.1 Reb, 0.0 Ast",2021
Joe Hedstrom,32.0,SO,C,7-0,247,"Hopkins, MN",Hopkins HS,,"0.4 Pts, 0.3 Reb, 0.0 Ast",2021
Carter Gilmore,14.0,FR,F,6-7,215,"Hartland, WI",Arrowhead HS,,"0.2 Pts, 0.3 Reb, 0.0 Ast",2021
Carter Higginbottom,4.0,SO,G,6-0,188,"Chicago, IL",St. Ignatius HS,,"0.0 Pts, 0.0 Reb, 0.1 Ast",2021
Walt McGrory,3.0,SR,G,6-3,205,"Minneapolis, MN",Edina High School,,"0.0 Pts, 0.0 Reb, 0.0 Ast",2021
Justin Taphorn,13.0,FR,G,6-5,198,"Pekin, IL",Pekin HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast",2021
Nate Reuvers,35.0,JR,F,6-11,235,"Lakeville, MN",Lakeville North High School,68 (2017),"13.1 Pts, 4.5 Reb, 0.6 Ast",2020
D'Mitrik Trice,0.0,JR,G,6-0,184,"Huber Heights, OH",IMG Academy,,"9.8 Pts, 4.0 Reb, 4.2 Ast",2020
Brad Davison,34.0,JR,G,6-4,202,"Maple Grove, MN",Maple Grove Senior High School,,"9.9 Pts, 4.3 Reb, 1.9 Ast",2020
Aleem Ford,2.0,JR,F,6-8,217,"Lawrenceville, GA",IMG Academy,,"8.6 Pts, 4.4 Reb, 1.1 Ast",2020
Brevin Pritzl,1.0,SR,G,6-3,204,"De Pere, WI",De Pere HS,77 (2015),"8.0 Pts, 3.7 Reb, 0.7 Ast",2020
Micah Potter,11.0,JR,F,6-10,248,"Mentor, OH",Mentor High School,,"10.1 Pts, 6.2 Reb, 0.4 Ast",2020
Kobe King,23.0,JR,G,6-4,205,"La Crosse, WI",Central High School,,"10.0 Pts, 2.8 Reb, 1.6 Ast",2020
Tyler Wahl,5.0,FR,F,6-9,220,"Lakeville, MN",North HS,,"2.6 Pts, 2.6 Reb, 1.0 Ast",2020
Trevor Anderson,12.0,JR,G,6-3,195,"Stevens Point, WI",Stevens Point High School,,"1.8 Pts, 1.3 Reb, 1.2 Ast",2020
Walt McGrory,3.0,JR,G,6-3,205,"Minneapolis, MN",Edina High School,,"1.1 Pts, 0.6 Reb, 0.4 Ast",2020
Michael Ballard,31.0,JR,G,6-4,202,"Oak Park, IL",Fenwick High School,,"0.4 Pts, 0.1 Reb, 0.0 Ast",2020
Joe Hedstrom,32.0,FR,C,7-0,247,"Hopkins, MN",Hopkins HS,,"0.3 Pts, 0.3 Reb, 0.0 Ast",2020
Courtland Cuevas,15.0,JR,F,6-5,190,"Madison, WI",Madison East HS,,"0.2 Pts, 0.0 Reb, 0.0 Ast",2020
Carter Higginbottom,4.0,FR,G,6-0,188,"Chicago, IL",St. Ignatius HS,,"0.0 Pts, 0.1 Reb, 0.0 Ast",2020
Samad Qawi,20.0,JR,F,6-6,195,"Racine, WI",Horlick HS,,"0.0 Pts, 0.1 Reb, 0.0 Ast",2020
Johnny Davis,1.0,SO,G,6-5,196,"La Crosse, WI",La Crosse Central HS,,"19.7 Pts, 8.2 Reb, 2.1 Ast",2022
Brad Davison,34.0,SR,G,6-4,202,"Maple Grove, MN",Maple Grove Senior High School,,"14.1 Pts, 4.0 Reb, 2.1 Ast",2022
Tyler Wahl,5.0,JR,F,6-9,220,"Lakeville, MN",North HS,,"11.4 Pts, 5.9 Reb, 1.5 Ast",2022
Steven Crowl,22.0,SO,F,7-0,217,"Eagan, MN",Eastview HS,,"8.8 Pts, 4.4 Reb, 1.5 Ast",2022
Chucky Hepburn,23.0,FR,G,6-2,211,"Omaha, NE",Bellevue West (NE),,"7.9 Pts, 2.1 Reb, 2.3 Ast",2022
Chris Vogt,33.0,SR,C,7-1,260,"Mayfield, KY",Graves County High School,,"2.9 Pts, 3.1 Reb, 0.6 Ast",2022
Lorne Bowman,11.0,FR,G,6-2,180,"Detroit, MI",St. Mary's HS,,"3.0 Pts, 1.1 Reb, 0.5 Ast",2022
Ben Carlson,20.0,SO,F,6-9,218,"Woodbury, MN",East Ridge HS,,"1.6 Pts, 2.0 Reb, 0.1 Ast",2022
Jahcobi Neath,0.0,JR,G,6-3,200,"Toronto, Canada",Crestwood Prep,,"1.6 Pts, 1.5 Reb, 0.3 Ast",2022
