Gtm,Date,Opp,Opp.1,Type,Rslt,Tm,Opp.2,Opp.3,OT,FG,FG.1,FGA,FGA.1,FG%,FG%.1,3P,3P.1,3PA,3PA.1,3P%,3P%.1,2P,2P.1,2PA,2PA.1,2P%,2P%.1,eFG%,eFG%.1,FT,FT.1,FTA,FTA.1,FT%,FT%.1,ORB,ORB.1,DRB,DRB.1,TRB,TRB.1,AST,AST.1,STL,STL.1,BLK,BLK.1,TOV,TOV.1,PF,PF.1,seasonYear
1,2021-11-09,St. Francis Brooklyn,58,REG (Non-Conf),W,81,St. Francis Brooklyn,58,,29,25,66,63,.439,.397,10,5,22,21,.455,.238,19,20,44,42,.432,.476,.515,.437,13,3,18,4,.722,.750,13,5,30,21,43,26,12,5,6,8,4,4,11,12,10,15,2022
2,2021-11-12,Green Bay,34,REG (Non-Conf),W,72,Green Bay,34,,24,12,64,51,.375,.235,5,3,21,16,.238,.188,19,9,43,35,.442,.257,.414,.265,19,7,21,15,.905,.467,16,7,30,22,46,29,9,6,10,3,6,4,7,12,18,20,2022
3,2021-11-15,Providence,63,REG (Non-Conf),L,58,Providence,63,,20,22,61,54,.328,.407,5,8,27,22,.185,.364,15,14,34,32,.441,.438,.369,.481,13,11,17,19,.765,.579,7,11,21,31,28,42,5,11,4,3,4,6,7,14,19,18,2022
4,2021-11-22,Texas A&M,58,REG (Non-Conf),W,69,Texas A&M,58,,23,19,58,49,.397,.388,8,10,26,26,.308,.385,15,9,32,23,.469,.391,.466,.490,15,10,17,14,.882,.714,9,5,23,21,32,26,10,11,7,7,3,3,11,15,13,18,2022
5,2021-11-23,Houston,63,REG (Non-Conf),W,65,Houston,63,,23,23,49,54,.469,.426,7,9,24,23,.292,.391,16,14,25,31,.640,.452,.541,.509,12,8,15,15,.800,.533,1,7,24,25,25,32,11,10,7,7,3,2,8,12,19,18,2022
6,2021-11-24,St. Mary's (CA),55,REG (Non-Conf),W,61,St. Mary's (CA),55,,21,21,56,50,.375,.420,3,4,12,15,.250,.267,18,17,44,35,.409,.486,.402,.460,16,9,18,12,.889,.750,11,7,21,22,32,29,4,9,3,3,4,5,8,15,19,21,2022
7,2021-12-01,Georgia Tech,66,REG (Non-Conf),W,70,Georgia Tech,66,,23,22,54,53,.426,.415,9,6,24,16,.375,.375,14,16,30,37,.467,.432,.509,.472,15,16,22,20,.682,.800,6,9,19,25,25,34,13,7,4,5,5,3,8,9,18,20,2022
8,2021-12-04,Marquette,76,REG (Non-Conf),W,89,Marquette,76,,31,27,61,61,.508,.443,10,9,24,26,.417,.346,21,18,37,35,.568,.514,.590,.516,17,13,23,18,.739,.722,5,6,25,24,30,30,14,13,5,4,3,3,11,12,15,20,2022
9,2021-12-08,Indiana,59,REG (Conf),W,64,Indiana,59,,22,24,62,62,.355,.387,5,5,23,13,.217,.385,17,19,39,49,.436,.388,.395,.427,15,6,18,13,.833,.462,10,12,28,27,38,39,12,14,4,2,6,4,4,9,15,19,2022
10,2021-12-11,Ohio State,73,REG (Conf),L,55,Ohio State,73,,22,29,65,58,.338,.500,6,6,26,19,.231,.316,16,23,39,39,.410,.590,.385,.552,5,9,9,13,.556,.692,3,7,22,40,25,47,7,15,7,4,5,4,8,14,19,14,2022
