Gtm,Date,Opp,Opp.1,Type,Rslt,Tm,Opp.2,Opp.3,OT,FG,FG.1,FGA,FGA.1,FG%,FG%.1,3P,3P.1,3PA,3PA.1,3P%,3P%.1,2P,2P.1,2PA,2PA.1,2P%,2P%.1,eFG%,eFG%.1,FT,FT.1,FTA,FTA.1,FT%,FT%.1,ORB,ORB.1,DRB,DRB.1,TRB,TRB.1,AST,AST.1,STL,STL.1,BLK,BLK.1,TOV,TOV.1,PF,PF.1,seasonYear
1.0,2019-11-05,St. Mary's (CA),65,REG (Non-Conf),L,63,St. Mary's (CA),65,OT,22,24,52,61,0.423,0.393,5,8,19,18,0.263,0.444,17,16,33,43,0.515,0.372,0.471,0.459,14,9,20,13,0.7,0.692,6,11,20,22,26,33,8,10,1,6,4,2,14,14,14,20,2020
2.0,2019-11-08,Eastern Illinois,52,REG (Non-Conf),W,65,Eastern Illinois,52,,21,21,55,63,0.382,0.333,3,7,18,19,0.167,0.368,18,14,37,44,0.486,0.318,0.409,0.389,20,3,24,8,0.833,0.375,12,10,29,23,41,33,7,9,6,6,12,4,11,11,13,22,2020
3.0,2019-11-13,McNeese State,63,REG (Non-Conf),W,83,McNeese State,63,,29,21,55,45,0.527,0.467,10,8,28,21,0.357,0.381,19,13,27,24,0.704,0.542,0.618,0.556,15,13,18,17,0.833,0.765,6,4,18,17,24,21,19,13,10,4,3,2,9,18,15,21,2020
4.0,2019-11-17,Marquette,61,REG (Non-Conf),W,77,Marquette,61,,24,19,56,51,0.429,0.373,11,9,23,19,0.478,0.474,13,10,33,32,0.394,0.313,0.527,0.461,18,14,20,17,0.9,0.824,9,5,24,22,33,27,11,9,6,2,3,3,12,15,19,16,2020
5.0,2019-11-21,Green Bay,70,REG (Non-Conf),W,88,Green Bay,70,,32,29,62,61,0.516,0.475,15,4,31,20,0.484,0.2,17,25,31,41,0.548,0.61,0.637,0.508,9,8,10,11,0.9,0.727,8,3,30,20,38,23,24,16,3,8,1,3,13,9,15,16,2020
6.0,2019-11-25,Richmond,62,REG (Non-Conf),L,52,Richmond,62,,17,26,50,56,0.34,0.464,7,6,27,17,0.259,0.353,10,20,23,39,0.435,0.513,0.41,0.518,11,4,14,6,0.786,0.667,6,4,28,27,34,31,7,12,6,7,2,3,13,10,14,16,2020
7.0,2019-11-26,New Mexico,59,REG (Non-Conf),L,50,New Mexico,59,,18,22,53,50,0.34,0.44,2,3,26,13,0.077,0.231,16,19,27,37,0.593,0.514,0.358,0.47,12,12,16,15,0.75,0.8,11,7,22,24,33,31,6,13,5,3,1,1,12,13,16,17,2020
8.0,2019-12-04,NC State,69,REG (Non-Conf),L,54,NC State,69,,21,27,56,56,0.375,0.482,5,8,23,20,0.217,0.4,16,19,33,36,0.485,0.528,0.42,0.554,7,7,15,10,0.467,0.7,13,3,21,20,34,23,7,6,3,7,4,6,9,5,11,10,2020
9.0,2019-12-07,Indiana,64,REG (Conf),W,84,Indiana,64,,30,21,56,50,0.536,0.42,8,5,20,14,0.4,0.357,22,16,36,36,0.611,0.444,0.607,0.47,16,17,18,26,0.889,0.654,6,10,20,18,26,28,13,12,5,3,6,3,4,12,18,19,2020
10.0,2019-12-11,Rutgers,72,REG (Conf),L,65,Rutgers,72,,23,29,48,63,0.479,0.46,8,5,23,19,0.348,0.263,15,24,25,44,0.6,0.545,0.563,0.5,11,9,16,13,0.688,0.692,3,11,19,23,22,34,9,10,5,8,4,3,14,11,17,19,2020
