Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,seasonYear
1.0,John Tonje,G,37,37,31.1,5.5,11.9,0.465,2.3,5.9,0.388,3.2,5.9,0.541,0.562,6.2,6.9,0.909,0.8,4.5,5.3,1.8,0.7,0.2,1.8,1.7,19.6,,2025
2.0,John Blackwell,G,37,37,31.2,5.5,12.2,0.451,1.6,4.9,0.322,3.9,7.3,0.537,0.516,3.2,3.9,0.815,1.0,4.1,5.1,2.2,0.9,0.1,2.1,2.5,15.8,,2025
3.0,Steven Crowl,F,37,37,25.6,3.8,7.0,0.539,0.9,2.1,0.416,2.9,4.9,0.591,0.601,1.5,1.8,0.821,1.4,3.9,5.3,2.4,0.5,0.5,1.4,2.1,9.9,,2025
4.0,Nolan Winter,F,37,37,21.1,3.4,6.1,0.564,0.9,2.6,0.358,2.5,3.5,0.715,0.64,1.6,2.1,0.769,1.7,4.1,5.8,1.1,0.4,0.4,0.8,1.6,9.4,,2025
5.0,Max Klesmit,G,33,33,27.6,2.8,8.1,0.345,1.6,5.5,0.29,1.2,2.5,0.464,0.444,2.0,2.4,0.846,0.2,2.1,2.4,2.7,0.8,0.1,1.1,1.7,9.2,,2025
6.0,Kamari McGee,G,37,4,21.9,2.3,5.0,0.457,1.1,2.3,0.459,1.2,2.7,0.455,0.563,0.9,1.1,0.805,0.6,2.1,2.7,1.8,0.9,0.1,0.7,2.1,6.5,,2025
7.0,Carter Gilmore,F,37,0,19.1,1.4,3.0,0.468,0.6,1.7,0.339,0.8,1.3,0.633,0.563,0.6,0.8,0.724,0.8,1.8,2.6,1.3,0.3,0.5,0.5,2.2,3.9,,2025
8.0,Xavier Amos,F,37,0,9.6,1.2,3.3,0.374,0.5,1.8,0.294,0.7,1.5,0.473,0.455,0.5,0.7,0.704,0.4,1.4,1.8,0.4,0.2,0.3,0.5,0.9,3.5,,2025
9.0,Jack Janicki,G,37,0,11.4,0.7,1.9,0.391,0.4,1.3,0.277,0.4,0.6,0.636,0.486,0.1,0.2,0.333,0.3,1.1,1.4,0.8,0.4,0.2,0.2,1.1,1.9,,2025
10.0,Markus Ilver,F,20,0,3.5,0.5,1.4,0.357,0.4,1.1,0.333,0.2,0.4,0.429,0.482,0.2,0.2,1.0,0.1,0.4,0.5,0.1,0.1,0.1,0.2,0.5,1.6,,2025
11.0,Riccardo Greppi,F,9,0,2.3,0.2,0.3,0.667,0.0,0.1,0.0,0.2,0.2,1.0,0.667,0.4,0.7,0.667,0.4,0.7,1.1,0.1,0.0,0.1,0.2,0.3,0.9,,2025
12.0,Jack Robison,F,13,0,1.2,0.2,0.3,0.5,0.2,0.2,1.0,0.0,0.2,0.0,0.75,0.0,0.0,,0.2,0.2,0.3,0.1,0.0,0.0,0.0,0.1,0.5,,2025
13.0,Camren Hunter,G,11,0,2.1,0.1,0.7,0.125,0.1,0.4,0.25,0.0,0.4,0.0,0.188,0.0,0.0,,0.2,0.3,0.5,0.1,0.0,0.0,0.2,0.4,0.3,,2025
14.0,Isaac Gard,G,13,0,1.0,0.1,0.1,1.0,0.1,0.1,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.1,0.2,,2025
15.0,Daniel Freitag,G,14,0,2.1,0.1,0.8,0.091,0.0,0.4,0.0,0.1,0.4,0.2,0.091,0.0,0.2,0.0,0.1,0.1,0.3,0.2,0.1,0.0,0.1,0.6,0.1,,2025
16.0,Chris Hodges,F,15,0,1.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.25,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,,2025
17.0,Aidan Konop,G,4,0,0.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025
,Team Totals,,37,37,200.7,26.8,59.0,0.454,9.9,28.4,0.348,16.9,30.6,0.552,0.538,16.6,20.2,0.826,9.4,27.1,36.5,14.5,5.1,2.4,9.6,16.5,80.1,,2025
