Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary,seasonYear
D'Mitrik Trice,0,SR,G,6-0,184,"Huber Heights, OH",IMG Academy,,"13.9 Pts, 3.4 Reb, 4.0 Ast",2021
Micah Potter,11,SR,F,6-10,248,"Mentor, OH",Mentor High School,,"12.5 Pts, 5.9 Reb, 1.4 Ast",2021
Brad Davison,34,SR,G,6-4,202,"Maple Grove, MN",Maple Grove Senior High School,,"10.0 Pts, 3.5 Reb, 2.4 Ast",2021
Aleem Ford,2,SR,F,6-8,217,"Lawrenceville, GA",IMG Academy,,"8.7 Pts, 4.2 Reb, 1.1 Ast",2021
Nate Reuvers,35,SR,F,6-11,235,"Lakeville, MN",Lakeville North High School,68 (2017),"8.3 Pts, 3.3 Reb, 0.7 Ast",2021
Johnny Davis,1,FR,G,6-5,196,"La Crosse, WI",La Crosse Central HS,,"7.0 Pts, 4.1 Reb, 1.1 Ast",2021
Tyler Wahl,5,SO,F,6-9,220,"Lakeville, MN",North HS,,"5.2 Pts, 4.3 Reb, 1.4 Ast",2021
Trevor Anderson,21,SR,G,6-3,195,"Stevens Point, WI",Stevens Point High School,,"3.1 Pts, 1.4 Reb, 1.2 Ast",2021
Ben Carlson,20,FR,F,6-9,218,"Woodbury, MN",East Ridge HS,,"2.9 Pts, 0.9 Reb, 0.6 Ast",2021
Steven Crowl,22,FR,F,7-0,217,"Eagan, MN",Eastview HS,,"0.7 Pts, 0.8 Reb, 0.2 Ast",2021
Jordan Davis,24,FR,G,6-4,202,"La Crosse, WI",La Crosse Central HS,,"0.6 Pts, 0.1 Reb, 0.0 Ast",2021
Joe Hedstrom,32,SO,C,7-0,247,"Hopkins, MN",Hopkins HS,,"0.4 Pts, 0.3 Reb, 0.0 Ast",2021
Carter Gilmore,14,FR,F,6-7,215,"Hartland, WI",Arrowhead HS,,"0.2 Pts, 0.3 Reb, 0.0 Ast",2021
Carter Higginbottom,4,SO,G,6-0,188,"Chicago, IL",St. Ignatius HS,,"0.0 Pts, 0.0 Reb, 0.1 Ast",2021
Walt McGrory,3,SR,G,6-3,205,"Minneapolis, MN",Edina High School,,"0.0 Pts, 0.0 Reb, 0.0 Ast",2021
Justin Taphorn,13,FR,G,6-5,198,"Pekin, IL",Pekin HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast",2021
