Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
Nick Boyd,2,SR,G,6-3,170,"Garnerville, NY",Bosco Institute (IN),,"20.7 Pts, 3.8 Reb, 4.3 Ast"
John Blackwell,25,JR,G,6-4,194,"Highland Park, MI",Brother Rice (MI),,"19.1 Pts, 5.1 Reb, 2.3 Ast"
Nolan Winter,31,JR,F,6-11,220,"Lakeville, MN",Lakeville North (MN),90 (2023),"13.1 Pts, 8.5 Reb, 1.5 Ast"
Austin Rapp,22,SO,F,6-10,230,"Melbourne, Australia",South East Melbourne Phoenix (Australia),,"9.7 Pts, 4.0 Reb, 1.6 Ast"
Braeden Carrington,0,SR,G,6-4,195,"Brooklyn Park, MN",Park Center (MN),,"8.3 Pts, 2.4 Reb, 1.1 Ast"
Andrew Rohde,7,SR,G,6-6,185,"Brookfield, WI",Brookfield Central (WI),,"5.7 Pts, 2.1 Reb, 2.9 Ast"
Aleksas Bieliauskas,32,FR,F,6-10,235,"Kaunas, Lithuania",Kauno Varpo gimnazija (Lithuania),,"4.9 Pts, 4.4 Reb, 0.9 Ast"
Jack Janicki,5,SO,G,6-5,190,"White Bear Lake, MN",White Bear Lake (MN),,"2.2 Pts, 2.0 Reb, 1.1 Ast"
Hayden Jones,13,FR,G,6-7,198,"Nelson, New Zealand",Nelson Giants (Australia),,"1.7 Pts, 1.0 Reb, 0.4 Ast"
Will Garlock,23,FR,F,7-0,243,"Middleton, WI",Middleton (WI),,"1.1 Pts, 1.1 Reb, 0.7 Ast"
Zach Kinziger,4,FR,G,6-3,185,"De Pere, WI",De Pere (WI),,"1.3 Pts, 0.3 Reb, 0.6 Ast"
Jack Robison,11,SO,F,6-5,190,"Lakeville, MN",Lakeville North (MN),,"1.0 Pts, 0.5 Reb, 0.1 Ast"
Isaac Gard,15,SR,G,6-2,165,"Oregon, WI",Oregon (WI),,"0.8 Pts, 0.2 Reb, 0.1 Ast"
Riccardo Greppi,18,SO,F,6-10,255,"Lecco, Italy",Villafrut Verona (Italy),,"0.0 Pts, 0.4 Reb, 0.1 Ast"
