Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
Nate Reuvers,35,JR,F,6-11,235,"Lakeville, MN",Lakeville North High School,68 (2017),"13.1 Pts, 4.5 Reb, 0.6 Ast"
D'Mitrik Trice,0,JR,G,6-0,184,"Huber Heights, OH",IMG Academy,,"9.8 Pts, 4.0 Reb, 4.2 Ast"
Brad Davison,34,JR,G,6-4,202,"Maple Grove, MN",Maple Grove Senior High School,,"9.9 Pts, 4.3 Reb, 1.9 Ast"
Aleem Ford,2,JR,F,6-8,217,"Lawrenceville, GA",IMG Academy,,"8.6 Pts, 4.4 Reb, 1.1 Ast"
Brevin Pritzl,1,SR,G,6-3,204,"De Pere, WI",De Pere HS,77 (2015),"8.0 Pts, 3.7 Reb, 0.7 Ast"
Micah Potter,11,JR,F,6-10,248,"Mentor, OH",Mentor High School,,"10.1 Pts, 6.2 Reb, 0.4 Ast"
Kobe King,23,JR,G,6-4,205,"La Crosse, WI",Central High School,,"10.0 Pts, 2.8 Reb, 1.6 Ast"
Tyler Wahl,5,FR,F,6-9,220,"Lakeville, MN",North HS,,"2.6 Pts, 2.6 Reb, 1.0 Ast"
Trevor Anderson,12,JR,G,6-3,195,"Stevens Point, WI",Stevens Point High School,,"1.8 Pts, 1.3 Reb, 1.2 Ast"
Walt McGrory,3,JR,G,6-3,205,"Minneapolis, MN",Edina High School,,"1.1 Pts, 0.6 Reb, 0.4 Ast"
Michael Ballard,31,JR,G,6-4,202,"Oak Park, IL",Fenwick High School,,"0.4 Pts, 0.1 Reb, 0.0 Ast"
Joe Hedstrom,32,FR,C,7-0,247,"Hopkins, MN",Hopkins HS,,"0.3 Pts, 0.3 Reb, 0.0 Ast"
Courtland Cuevas,15,JR,F,6-5,190,"Madison, WI",Madison East HS,,"0.2 Pts, 0.0 Reb, 0.0 Ast"
Carter Higginbottom,4,FR,G,6-0,188,"Chicago, IL",St. Ignatius HS,,"0.0 Pts, 0.1 Reb, 0.0 Ast"
Samad Qawi,20,JR,F,6-6,195,"Racine, WI",Horlick HS,,"0.0 Pts, 0.1 Reb, 0.0 Ast"
