Gtm,Date,Opp,Opp,Type,Rslt,Tm,Opp,Opp,OT,FG,FG,FGA,FGA,FG%,FG%,3P,3P,3PA,3PA,3P%,3P%,2P,2P,2PA,2PA,2P%,2P%,eFG%,eFG%,FT,FT,FTA,FTA,FT%,FT%,ORB,ORB,DRB,DRB,TRB,TRB,AST,AST,STL,STL,BLK,BLK,TOV,TOV,PF,PF
1,2025-11-03,Campbell,64,REG (Non-Conf),W,96,Campbell,64,,34,23,67,52,.507,.442,11,5,28,19,.393,.263,23,18,39,33,.590,.545,.590,.490,17,13,19,17,.895,.765,11,9,18,20,29,29,19,7,11,8,1,2,9,19,16,21
2,2025-11-07,Northern Illinois,72,REG (Non-Conf),W,97,Northern Illinois,72,,30,22,61,47,.492,.468,9,7,31,21,.290,.333,21,15,30,26,.700,.577,.566,.543,28,21,37,31,.757,.677,15,2,21,21,36,23,14,10,7,3,4,0,8,14,23,29
3,2025-11-11,Ball State,55,REG (Non-Conf),W,86,Ball State,55,,32,18,64,53,.500,.340,14,7,38,23,.368,.304,18,11,26,30,.692,.367,.609,.406,8,12,8,21,1.000,.571,13,5,27,16,40,21,20,9,5,9,8,4,15,12,16,15
4,2025-11-17,SIU Edwardsville,69,REG (Non-Conf),W,94,SIU Edwardsville,69,,29,26,65,58,.446,.448,15,7,39,18,.385,.389,14,19,26,40,.538,.475,.562,.509,21,10,24,11,.875,.909,11,6,24,21,35,27,19,10,8,4,6,5,4,10,13,18
5,2025-11-21,Brigham Young,98,REG (Non-Conf),L,70,Brigham Young,98,,23,31,61,65,.377,.477,7,14,29,34,.241,.412,16,17,32,31,.500,.548,.434,.585,17,22,26,29,.654,.759,9,12,27,29,36,41,8,18,6,6,3,2,12,8,25,24
6,2025-11-27,Providence,83,REG (Non-Conf),W,104,Providence,83,,37,30,77,67,.481,.448,14,11,40,28,.350,.393,23,19,37,39,.622,.487,.571,.530,16,12,24,15,.667,.800,12,6,27,29,39,35,21,14,10,5,5,2,6,12,15,19
7,2025-11-28,TCU,74,REG (Non-Conf),L,63,TCU,74,,20,28,58,60,.345,.467,7,8,28,14,.250,.571,13,20,30,46,.433,.435,.405,.533,16,10,18,16,.889,.625,7,7,25,28,32,35,10,15,9,6,3,7,16,12,15,16
8,2025-12-03,Northwestern,73,REG (Conf),W,85,Northwestern,73,,28,25,64,59,.438,.424,11,4,31,19,.355,.211,17,21,33,40,.515,.525,.523,.458,18,19,21,23,.857,.826,10,8,18,24,28,32,19,15,7,3,1,4,7,12,16,18
9,2025-12-06,Marquette,76,REG (Non-Conf),W,96,Marquette,76,,29,29,61,69,.475,.420,14,9,33,29,.424,.310,15,20,28,40,.536,.500,.590,.486,24,9,29,19,.828,.474,8,6,37,23,45,29,15,13,7,9,2,2,12,8,18,23
10,2025-12-10,Nebraska,90,REG (Conf),L,60,Nebraska,90,,22,33,64,61,.344,.541,7,11,32,30,.219,.367,15,22,32,31,.469,.710,.398,.631,9,13,11,15,.818,.867,8,8,20,27,28,35,14,20,4,4,1,6,10,8,18,13
11,2025-12-19,Villanova,76,REG (Non-Conf),L,66,Villanova,76,OT,25,26,56,65,.446,.400,10,11,23,31,.435,.355,15,15,33,34,.455,.441,.536,.485,6,13,10,19,.600,.684,7,12,24,24,31,36,15,16,4,9,4,7,16,7,20,16
12,2025-12-22,Central Michigan,61,REG (Non-Conf),W,88,Central Michigan,61,,29,22,54,54,.537,.407,13,5,31,17,.419,.294,16,17,23,37,.696,.459,.657,.454,17,12,26,17,.654,.706,8,2,29,19,37,21,25,13,2,6,3,3,9,6,17,21
13,2025-12-30,Milwaukee,60,REG (Non-Conf),W,80,Milwaukee,60,,28,21,57,63,.491,.333,4,3,22,22,.182,.136,24,18,35,41,.686,.439,.526,.357,20,15,32,21,.625,.714,6,12,30,25,36,37,14,5,5,6,4,3,9,15,22,23
14,2026-01-03,Purdue,89,REG (Conf),L,73,Purdue,89,,24,33,57,71,.421,.465,4,10,25,27,.160,.370,20,23,32,44,.625,.523,.456,.535,21,13,26,19,.808,.684,7,11,28,21,35,32,7,22,7,8,2,3,11,7,17,18
15,2026-01-06,UCLA,72,REG (Conf),W,80,UCLA,72,,25,28,55,61,.455,.459,10,1,30,17,.333,.059,15,27,25,44,.600,.614,.545,.467,20,15,27,23,.741,.652,5,8,25,25,30,33,14,11,4,3,0,3,7,9,21,21
16,2026-01-10,Michigan,88,REG (Conf),W,91,Michigan,88,,29,29,58,62,.500,.468,15,8,33,25,.455,.320,14,21,25,37,.560,.568,.629,.532,18,22,23,24,.783,.917,4,6,21,21,25,27,16,11,5,1,4,5,10,9,18,18
17,2026-01-13,Minnesota,75,REG (Conf),W,78,Minnesota,75,,25,27,55,52,.455,.519,14,5,33,18,.424,.278,11,22,22,34,.500,.647,.582,.567,14,16,18,24,.778,.667,6,4,26,22,32,26,17,20,1,3,5,2,5,5,19,14
18,2026-01-17,Rutgers,87,REG (Conf),W,96,Rutgers,87,,29,30,60,63,.483,.476,12,12,30,30,.400,.400,17,18,30,33,.567,.545,.583,.571,26,15,29,19,.897,.789,5,10,18,20,23,30,20,17,6,4,1,3,9,10,19,24
19,2026-01-22,Penn State,71,REG (Conf),W,98,Penn State,71,,36,23,71,64,.507,.359,15,8,35,27,.429,.296,21,15,36,37,.583,.405,.613,.422,11,17,15,23,.733,.739,14,9,28,22,42,31,25,11,5,4,4,0,7,7,16,12
20,2026-01-25,Southern California,73,REG (Conf),L,71,Southern California,73,,23,25,67,61,.343,.410,9,6,37,24,.243,.250,14,19,30,37,.467,.514,.410,.459,16,17,20,23,.800,.739,16,12,22,26,38,38,10,9,3,3,3,4,6,5,17,15
21,2026-01-28,Minnesota,63,REG (Conf),W,67,Minnesota,63,,19,23,48,50,.396,.460,13,11,31,27,.419,.407,6,12,17,23,.353,.522,.531,.570,16,6,22,11,.727,.545,4,5,23,23,27,28,11,12,4,8,2,1,12,8,12,19
22,2026-01-31,Ohio State,82,REG (Conf),W,92,Ohio State,82,,32,28,62,69,.516,.406,9,10,26,29,.346,.345,23,18,36,40,.639,.450,.589,.478,19,16,21,18,.905,.889,7,9,24,21,31,30,16,9,3,2,4,1,5,6,15,20
23,2026-02-07,Indiana,78,REG (Conf),L,77,Indiana,78,OT,27,30,71,63,.380,.476,12,5,36,22,.333,.227,15,25,35,41,.429,.610,.465,.516,11,13,12,15,.917,.867,10,9,19,24,29,33,16,13,5,1,3,9,7,8,19,15
24,2026-02-10,Illinois,90,REG (Conf),W,92,Illinois,90,OT,33,32,76,60,.434,.533,16,15,36,33,.444,.455,17,17,40,27,.425,.630,.539,.658,10,11,14,19,.714,.579,13,8,21,28,34,36,17,15,8,0,3,6,4,13,17,12
25,2026-02-13,Michigan State,71,REG (Conf),W,92,Michigan State,71,,30,24,62,66,.484,.364,15,8,35,27,.429,.296,15,16,27,39,.556,.410,.605,.424,17,15,23,16,.739,.938,11,12,23,23,34,35,14,13,6,4,3,2,6,9,15,18
26,2026-02-17,Ohio State,86,REG (Conf),L,69,Ohio State,86,,27,31,59,57,.458,.544,7,11,26,21,.269,.524,20,20,33,36,.606,.556,.517,.640,8,13,16,19,.500,.684,10,9,17,24,27,33,13,16,4,3,5,2,11,13,19,16
27,2026-02-22,Iowa,71,REG (Conf),W,84,Iowa,71,,28,28,52,59,.538,.475,10,7,24,26,.417,.269,18,21,28,33,.643,.636,.635,.534,18,8,20,11,.900,.727,4,9,22,18,26,27,17,13,6,4,3,2,8,9,12,16
28,2026-02-25,Oregon,85,REG (Conf),L,71,Oregon,85,,22,28,66,54,.333,.519,14,9,45,19,.311,.474,8,19,21,35,.381,.543,.439,.602,13,20,16,25,.813,.800,12,4,22,28,34,32,17,19,4,8,1,8,12,7,18,11
29,2026-02-28,Washington,73,REG (Conf),W,90,Washington,73,,34,29,74,63,.459,.460,17,4,38,18,.447,.222,17,25,36,45,.472,.556,.574,.492,5,11,5,16,1.000,.688,8,9,26,23,34,32,16,11,6,5,2,4,5,9,15,8
30,2026-03-04,Maryland,45,REG (Conf),W,78,Maryland,45,,27,17,56,56,.482,.304,13,9,31,31,.419,.290,14,8,25,25,.560,.320,.598,.384,11,2,13,5,.846,.400,4,11,25,24,29,35,15,9,8,1,3,3,3,9,11,16
31,2026-03-07,Purdue,93,REG (Conf),W,97,Purdue,93,,29,34,52,67,.558,.507,18,11,34,25,.529,.440,11,23,18,42,.611,.548,.731,.590,21,14,24,19,.875,.737,4,12,13,17,17,29,19,20,4,5,1,5,8,7,19,18
Gtm,Date,Opp,Opp,Type,Rslt,Tm,Opp,Opp,OT,FG,FG,FGA,FGA,FG%,FG%,3P,3P,3PA,3PA,3P%,3P%,2P,2P,2PA,2PA,2P%,2P%,eFG%,eFG%,FT,FT,FTA,FTA,FT%,FT%,ORB,ORB,DRB,DRB,TRB,TRB,AST,AST,STL,STL,BLK,BLK,TOV,TOV,PF,PF
32,2026-03-12,Washington,82,CTOURN,W,85,Washington,82,,31,30,69,68,.449,.441,15,7,39,23,.385,.304,16,23,30,45,.533,.511,.558,.493,8,15,8,20,1.000,.750,12,19,16,23,28,42,19,22,5,4,4,5,5,7,18,13
33,2026-03-13,Illinois,88,CTOURN,W,91,Illinois,88,OT,28,35,66,70,.424,.500,10,9,41,31,.244,.290,18,26,25,39,.720,.667,.500,.564,25,9,30,15,.833,.600,11,7,25,27,36,34,17,16,5,1,2,2,5,6,19,23
34,2026-03-14,Michigan,68,CTOURN,L,65,Michigan,68,,23,25,61,58,.377,.431,16,8,38,25,.421,.320,7,17,23,33,.304,.515,.508,.500,3,10,5,12,.600,.833,6,9,21,28,27,37,14,13,9,5,5,8,10,14,14,8
Gtm,Date,Opp,Opp,Type,Rslt,Tm,Opp,Opp,OT,FG,FG,FGA,FGA,FG%,FG%,3P,3P,3PA,3PA,3P%,3P%,2P,2P,2PA,2PA,2P%,2P%,eFG%,eFG%,FT,FT,FTA,FTA,FT%,FT%,ORB,ORB,DRB,DRB,TRB,TRB,AST,AST,STL,STL,BLK,BLK,TOV,TOV,PF,PF
35,2026-03-19,High Point,83,ROUND-64,L,82,High Point,83,,31,31,65,74,.477,.419,9,15,23,40,.391,.375,22,16,42,34,.524,.471,.546,.520,11,6,12,9,.917,.667,5,10,28,24,33,34,17,18,2,6,4,5,9,6,12,15
,,,2664,,24-11,2904,,2664,,978,954,2171,2141,.450,.446,409,291,1131,870,.362,.334,569,663,1040,1271,.547,.522,.545,.514,539,465,684,639,.788,.728,303,297,820,818,1123,1115,560,485,195,161,109,130,298,326,596,606
