Gtm,Date,Opp,Opp,Type,Rslt,Tm,Opp,Opp,OT,FG,FG,FGA,FGA,FG%,FG%,3P,3P,3PA,3PA,3P%,3P%,2P,2P,2PA,2PA,2P%,2P%,eFG%,eFG%,FT,FT,FTA,FTA,FT%,FT%,ORB,ORB,DRB,DRB,TRB,TRB,AST,AST,STL,STL,BLK,BLK,TOV,TOV,PF,PF
1,2020-11-25,Eastern Illinois,67,REG (Non-Conf),W,77,Eastern Illinois,67,,24,23,57,66,.421,.348,7,6,23,19,.304,.316,17,17,34,47,.500,.362,.482,.394,22,15,29,15,.759,1.000,7,10,28,25,35,35,16,8,6,4,10,4,7,10,15,20
2,2020-11-27,Arkansas–Pine Bluff,58,REG (Non-Conf),W,92,Arkansas–Pine Bluff,58,,31,18,59,53,.525,.340,10,6,19,14,.526,.429,21,12,40,39,.525,.308,.610,.396,20,16,27,21,.741,.762,6,6,29,22,35,28,17,7,9,3,7,2,7,15,19,19
3,2020-12-01,Green Bay,42,REG (Non-Conf),W,82,Green Bay,42,,34,16,61,57,.557,.281,9,3,20,17,.450,.176,25,13,41,40,.610,.325,.631,.307,5,7,6,13,.833,.538,9,4,36,18,45,22,18,5,4,3,7,2,10,10,15,10
4,2020-12-04,Marquette,67,REG (Non-Conf),L,65,Marquette,67,,21,21,56,49,.375,.429,7,5,24,14,.292,.357,14,16,32,35,.438,.457,.438,.480,16,20,19,28,.842,.714,10,8,21,25,31,33,11,10,5,7,4,2,10,9,22,17
5,2020-12-09,Rhode Island,62,REG (Non-Conf),W,73,Rhode Island,62,,20,22,52,51,.385,.431,7,3,22,13,.318,.231,13,19,30,38,.433,.500,.452,.461,26,15,36,25,.722,.600,7,4,23,28,30,32,9,4,5,5,5,5,9,14,22,26
6,2020-12-15,Loyola Chicago,63,REG (Non-Conf),W,77,Loyola Chicago,63,,25,21,57,54,.439,.389,10,9,18,26,.556,.346,15,12,39,28,.385,.429,.526,.472,17,12,23,17,.739,.706,5,6,26,24,31,30,11,15,4,3,3,2,4,14,16,24
7,2020-12-19,Louisville,48,REG (Non-Conf),W,85,Louisville,48,,31,17,57,47,.544,.362,16,5,25,14,.640,.357,15,12,32,33,.469,.364,.684,.415,7,9,11,12,.636,.750,6,5,22,20,28,25,22,8,9,4,3,2,9,18,15,18
8,2020-12-22,Nebraska,53,REG (Conf),W,67,Nebraska,53,,22,18,55,54,.400,.333,8,8,26,27,.308,.296,14,10,29,27,.483,.370,.473,.407,15,9,15,17,1.000,.529,5,5,34,23,39,28,14,12,0,6,1,6,11,9,12,15
9,2020-12-25,Michigan State,76,REG (Conf),W,85,Michigan State,76,,27,27,51,57,.529,.474,8,8,19,11,.421,.727,19,19,32,46,.594,.413,.608,.544,23,14,30,16,.767,.875,3,9,23,20,26,29,18,23,7,2,4,0,6,14,16,26
10,2020-12-28,Maryland,70,REG (Conf),L,64,Maryland,70,,24,26,55,52,.436,.500,8,6,21,17,.381,.353,16,20,34,35,.471,.571,.509,.558,8,12,15,15,.533,.800,7,4,21,27,28,31,12,11,3,3,1,5,6,9,15,17
11,2020-12-31,Minnesota,59,REG (Conf),W,71,Minnesota,59,,30,20,59,64,.508,.313,6,7,15,31,.400,.226,24,13,44,33,.545,.394,.559,.367,5,12,8,14,.625,.857,8,15,27,23,35,38,12,12,3,1,3,6,9,10,15,15
12,2021-01-07,Indiana,73,REG (Conf),W,80,Indiana,73,2OT,28,30,66,62,.424,.484,8,8,19,21,.421,.381,20,22,47,41,.426,.537,.485,.548,16,5,20,8,.800,.625,5,1,28,30,33,31,14,19,10,2,0,7,7,13,14,19
13,2021-01-12,Michigan,77,REG (Conf),L,54,Michigan,77,,20,32,65,62,.308,.516,9,9,28,16,.321,.563,11,23,37,46,.297,.500,.377,.589,5,4,6,4,.833,1.000,7,8,21,33,28,41,8,13,4,6,2,9,10,8,6,9
14,2021-01-15,Rutgers,54,REG (Conf),W,60,Rutgers,54,,19,25,54,67,.352,.373,6,2,25,19,.240,.105,13,23,29,48,.448,.479,.407,.388,16,2,21,7,.762,.286,7,17,26,30,33,47,10,6,10,6,9,4,9,12,17,19
15,2021-01-20,Northwestern,52,REG (Conf),W,68,Northwestern,52,,24,21,55,51,.436,.412,10,7,27,23,.370,.304,14,14,28,28,.500,.500,.527,.480,10,3,11,7,.909,.429,4,2,25,23,29,25,14,10,5,3,2,2,8,10,13,17
16,2021-01-23,Ohio State,74,REG (Conf),L,62,Ohio State,74,,23,27,57,53,.404,.509,7,5,28,16,.250,.313,16,22,29,37,.552,.595,.465,.557,9,15,15,18,.600,.833,5,3,22,28,27,31,14,9,7,6,4,2,9,11,19,16
17,2021-01-27,Maryland,55,REG (Conf),W,61,Maryland,55,,22,19,56,53,.393,.358,10,9,26,30,.385,.300,12,10,30,23,.400,.435,.482,.443,7,8,7,9,1.000,.889,7,3,29,23,36,26,11,12,4,6,2,3,12,9,15,13
18,2021-01-30,Penn State,81,REG (Conf),L,71,Penn State,81,,29,27,66,60,.439,.450,7,8,28,24,.250,.333,22,19,38,36,.579,.528,.492,.517,6,19,8,25,.750,.760,10,5,28,28,38,33,14,14,2,6,5,1,12,6,21,10
19,2021-02-02,Penn State,56,REG (Conf),W,72,Penn State,56,,25,22,52,57,.481,.386,9,6,18,24,.500,.250,16,16,34,33,.471,.485,.567,.439,13,6,16,10,.813,.600,8,10,23,14,31,24,16,10,8,6,1,3,15,13,13,16
20,2021-02-06,Illinois,75,REG (Conf),L,60,Illinois,75,,25,28,60,53,.417,.528,4,5,24,16,.167,.313,21,23,36,37,.583,.622,.450,.575,6,14,11,21,.545,.667,2,10,17,34,19,44,6,16,10,8,4,1,11,18,16,10
21,2021-02-10,Nebraska,48,REG (Conf),W,61,Nebraska,48,,20,18,62,49,.323,.367,9,5,32,15,.281,.333,11,13,30,34,.367,.382,.395,.418,12,7,17,17,.706,.412,7,8,25,32,32,40,12,13,9,5,3,2,7,17,16,19
22,2021-02-14,Michigan,67,REG (Conf),L,59,Michigan,67,,21,24,54,59,.389,.407,6,7,19,17,.316,.412,15,17,35,42,.429,.405,.444,.466,11,12,12,16,.917,.750,3,9,22,23,25,32,11,11,5,5,5,6,9,5,18,10
23,2021-02-18,Iowa,77,REG (Conf),L,62,Iowa,77,,21,26,70,51,.300,.510,13,12,34,19,.382,.632,8,14,36,32,.222,.438,.393,.627,7,13,12,19,.583,.684,15,6,19,34,34,40,13,16,3,2,4,4,5,11,19,13
24,2021-02-21,Northwestern,51,REG (Conf),W,68,Northwestern,51,,23,20,57,50,.404,.400,9,6,26,20,.346,.300,14,14,31,30,.452,.467,.482,.460,13,5,15,8,.867,.625,6,3,26,22,32,25,17,13,10,4,3,4,8,14,10,12
25,2021-02-27,Illinois,74,REG (Conf),L,69,Illinois,74,,24,25,69,48,.348,.521,10,5,31,9,.323,.556,14,20,38,39,.368,.513,.420,.573,11,19,15,27,.733,.704,11,5,16,34,27,39,10,13,13,5,3,3,7,20,19,18
26,2021-03-02,Purdue,73,REG (Conf),L,69,Purdue,73,,23,24,57,50,.404,.480,7,5,29,14,.241,.357,16,19,28,36,.571,.528,.465,.530,16,20,21,26,.762,.769,9,10,16,24,25,34,11,18,1,3,5,3,6,10,21,19
27,2021-03-07,Iowa,77,REG (Conf),L,73,Iowa,77,,28,28,60,55,.467,.509,9,7,24,23,.375,.304,19,21,36,32,.528,.656,.542,.573,8,14,8,20,1.000,.700,2,8,21,26,23,34,16,17,7,2,2,7,6,9,21,12
Gtm,Date,Opp,Opp,Type,Rslt,Tm,Opp,Opp,OT,FG,FG,FGA,FGA,FG%,FG%,3P,3P,3PA,3PA,3P%,3P%,2P,2P,2PA,2PA,2P%,2P%,eFG%,eFG%,FT,FT,FTA,FTA,FT%,FT%,ORB,ORB,DRB,DRB,TRB,TRB,AST,AST,STL,STL,BLK,BLK,TOV,TOV,PF,PF
28,2021-03-11,Penn State,74,CTOURN,W,75,Penn State,74,,25,28,54,58,.463,.483,12,7,23,20,.522,.350,13,21,31,38,.419,.553,.574,.543,13,11,15,13,.867,.846,4,8,19,23,23,31,18,17,4,5,4,3,8,8,16,18
29,2021-03-12,Iowa,62,CTOURN,L,57,Iowa,62,,22,26,57,64,.386,.406,7,2,17,20,.412,.100,15,24,40,44,.375,.545,.447,.422,6,8,6,10,1.000,.800,8,12,25,23,33,35,11,18,3,6,4,10,12,8,15,15
Gtm,Date,Opp,Opp,Type,Rslt,Tm,Opp,Opp,OT,FG,FG,FGA,FGA,FG%,FG%,3P,3P,3PA,3PA,3P%,3P%,2P,2P,2PA,2PA,2P%,2P%,eFG%,eFG%,FT,FT,FTA,FTA,FT%,FT%,ORB,ORB,DRB,DRB,TRB,TRB,AST,AST,STL,STL,BLK,BLK,TOV,TOV,PF,PF
30,2021-03-19,North Carolina,62,ROUND-64,W,85,North Carolina,62,,31,25,61,65,.508,.385,13,5,27,13,.481,.385,18,20,34,52,.529,.385,.615,.423,10,7,12,10,.833,.700,7,10,27,20,34,30,15,10,5,2,8,5,6,10,11,14
31,2021-03-21,Baylor,76,ROUND-32,L,63,Baylor,76,,25,25,55,55,.455,.455,8,8,21,17,.381,.471,17,17,34,38,.500,.447,.527,.527,5,18,7,23,.714,.783,7,5,22,20,29,25,13,15,0,6,5,0,13,4,18,15
,,,2003,,18-13,2167,,2003,,767,729,1806,1726,.425,.422,269,194,738,579,.364,.335,498,535,1068,1147,.466,.466,.499,.479,364,351,474,491,.768,.715,207,219,747,779,954,998,414,385,175,135,123,115,268,348,500,501
