Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,seasonYear
1,Chucky Hepburn,G,35,35,32.1,4.3,11.5,0.377,1.9,4.8,0.405,2.4,6.7,0.357,0.462,1.6,2.2,0.718,0.5,2.4,2.8,2.8,1.5,0.1,1.5,2.1,12.2,,2023
2,Steven Crowl,F,35,35,30.6,4.9,9.7,0.51,0.8,2.5,0.307,4.2,7.2,0.582,0.55,1.5,2.3,0.634,1.5,5.4,6.9,2.5,0.3,0.5,1.6,2.1,12.1,,2023
3,Connor Essegian,G,35,19,27.4,3.8,9.4,0.404,2.0,5.5,0.359,1.8,3.9,0.467,0.509,2.2,2.5,0.884,0.7,3.1,3.7,0.7,0.5,0.0,1.0,1.7,11.7,,2023
4,Tyler Wahl,F,32,32,31.5,4.2,9.9,0.423,0.3,1.1,0.294,3.9,8.8,0.438,0.438,2.6,4.1,0.634,1.6,4.7,6.3,2.5,1.2,0.4,2.2,2.6,11.3,,2023
5,Max Klesmit,G,33,33,32.1,2.8,6.5,0.423,1.4,3.6,0.383,1.4,2.9,0.474,0.53,1.5,2.1,0.696,0.3,2.3,2.7,1.4,1.2,0.2,1.0,2.4,8.4,,2023
6,Jordan Davis,G,35,18,20.5,2.0,4.9,0.399,0.9,3.0,0.308,1.1,2.0,0.536,0.491,0.3,0.4,0.6,0.9,2.7,3.5,0.4,0.4,0.1,0.2,1.5,5.1,,2023
7,Carter Gilmore,F,35,3,18.8,1.1,2.6,0.407,0.1,0.7,0.192,0.9,1.9,0.492,0.434,0.3,0.8,0.444,1.1,1.4,2.5,0.9,0.5,0.2,0.3,2.0,2.6,,2023
8,Markus Ilver,F,18,0,6.6,0.6,2.1,0.297,0.3,1.2,0.238,0.3,0.9,0.375,0.365,0.1,0.1,1.0,0.3,0.7,0.9,0.2,0.1,0.0,0.1,0.6,1.6,,2023
9,Isaac Lindsey,G,24,0,5.9,0.5,1.7,0.317,0.3,1.0,0.333,0.2,0.7,0.294,0.415,0.0,0.1,0.5,0.1,0.6,0.8,0.1,0.1,0.0,0.1,0.8,1.5,,2023
10,Kamari McGee,G,31,0,7.1,0.5,1.6,0.28,0.2,0.9,0.185,0.3,0.7,0.391,0.33,0.2,0.3,0.875,0.1,0.5,0.6,0.5,0.2,0.0,0.3,0.8,1.3,,2023
11,Jahcobi Neath,G,3,0,9.3,0.3,1.3,0.25,0.3,0.7,0.5,0.0,0.7,0.0,0.375,0.0,0.0,,0.0,0.3,0.3,0.3,0.3,0.0,0.7,0.7,1.0,,2023
12,Ross Candelino,G,5,0,1.0,0.4,0.4,1.0,0.0,0.0,,0.4,0.4,1.0,1.0,0.0,0.2,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.8,,2023
13,Chris Hodges,F,14,0,2.1,0.1,0.2,0.333,0.0,0.0,,0.1,0.2,0.333,0.333,0.0,0.0,,0.1,0.1,0.2,0.0,0.0,0.1,0.0,0.2,0.1,,2023
