Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,seasonYear
1.0,Johnny Davis,G,31,31,34.2,6.8,15.9,0.427,1.2,3.9,0.306,5.6,12.0,0.466,0.464,5.0,6.3,0.791,1.3,6.9,8.2,2.1,1.2,0.7,2.3,2.0,19.7,"AA-1,AP-AA-1,NABC-AA-1,SN-AA-1,USBWA-AA-1,W-AA-1",2022
2.0,Brad Davison,G,33,33,34.4,4.2,11.0,0.384,2.4,6.8,0.347,1.8,4.2,0.445,0.492,3.3,3.8,0.864,0.3,3.7,4.0,2.1,0.8,0.0,0.9,2.4,14.1,,2022
3.0,Tyler Wahl,F,32,32,30.5,4.5,8.8,0.516,0.2,1.2,0.162,4.3,7.6,0.57,0.527,2.2,3.1,0.7,1.6,4.3,5.9,1.5,1.2,0.8,1.6,2.5,11.4,,2022
4.0,Steven Crowl,F,33,33,25.3,3.5,7.0,0.496,0.8,2.5,0.317,2.7,4.5,0.595,0.552,1.1,1.4,0.8,1.5,2.9,4.4,1.5,0.3,0.3,0.9,2.5,8.8,,2022
5.0,Chucky Hepburn,G,33,33,31.0,2.8,7.2,0.388,1.2,3.4,0.348,1.6,3.8,0.424,0.47,1.2,1.7,0.696,0.2,1.9,2.1,2.3,1.1,0.2,1.2,2.1,7.9,,2022
6.0,Lorne Bowman II,G,22,0,10.4,1.0,2.8,0.344,0.5,1.4,0.4,0.4,1.4,0.29,0.443,0.5,1.1,0.48,0.1,1.0,1.1,0.5,0.3,0.0,0.6,1.1,3.0,,2022
7.0,Chris Vogt,C,33,0,12.8,1.2,2.4,0.5,0.0,0.0,0.0,1.2,2.3,0.506,0.5,0.6,1.1,0.514,1.5,1.6,3.1,0.6,0.3,0.8,0.5,2.3,2.9,,2022
8.0,Ben Carlson,F,32,2,9.1,0.7,2.1,0.333,0.0,0.7,0.048,0.7,1.4,0.467,0.341,0.2,0.4,0.538,0.8,1.3,2.0,0.1,0.1,0.0,0.3,0.5,1.6,,2022
9.0,Jahcobi Neath,G,23,1,9.7,0.5,1.9,0.256,0.2,0.8,0.222,0.3,1.1,0.28,0.302,0.5,0.7,0.733,0.4,1.1,1.5,0.3,0.2,0.0,0.3,0.6,1.6,,2022
10.0,Jordan Davis,G,27,0,6.5,0.5,1.5,0.325,0.3,1.0,0.286,0.2,0.4,0.417,0.425,0.0,0.1,0.333,0.3,0.6,0.9,0.1,0.1,0.1,0.2,0.7,1.3,,2022
11.0,Carter Gilmore,F,22,0,7.9,0.3,1.2,0.259,0.0,0.6,0.077,0.3,0.6,0.429,0.278,0.2,0.3,0.571,0.3,0.7,1.0,0.4,0.1,0.2,0.1,0.9,0.9,,2022
12.0,Markus Ilver,F,8,0,3.6,0.1,1.0,0.125,0.0,0.6,0.0,0.1,0.4,0.333,0.125,0.4,0.5,0.75,0.1,0.4,0.5,0.0,0.0,0.0,0.3,0.9,0.6,,2022
13.0,Isaac Lindsey,G,6,0,2.2,0.2,0.8,0.2,0.2,0.5,0.333,0.0,0.3,0.0,0.3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,2022
14.0,Carter Higginbottom,G,6,0,1.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,,2022
15.0,Justin Taphorn,G,4,0,1.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,,2022
,Team Totals,,33,33,200.0,24.7,58.5,0.422,6.5,21.1,0.306,18.2,37.4,0.487,0.477,14.1,19.0,0.743,9.3,25.7,35.0,11.1,5.3,2.9,8.7,16.8,69.9,,2022
