Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Nick Boyd,G,35,35,31.9,7.2,15.0,0.48,1.7,4.8,0.365,5.5,10.2,0.534,0.538,4.6,5.5,0.83,0.8,3.0,3.8,4.3,1.0,0.0,1.7,1.9,20.7,
2.0,John Blackwell,G,34,34,33.8,5.8,13.6,0.43,2.8,7.3,0.389,3.0,6.3,0.477,0.534,4.6,5.4,0.859,1.2,3.9,5.1,2.3,1.1,0.1,1.7,2.5,19.1,
3.0,Nolan Winter,F,31,30,30.7,4.9,8.7,0.569,1.0,3.1,0.326,3.9,5.6,0.701,0.626,2.2,3.0,0.742,2.3,6.2,8.5,1.5,0.5,1.2,0.8,1.9,13.1,
4.0,Austin Rapp,F,30,12,23.2,3.2,7.6,0.419,1.9,5.3,0.363,1.3,2.3,0.551,0.546,1.4,1.6,0.854,1.1,2.9,4.0,1.6,0.5,0.5,0.8,1.9,9.7,
5.0,Braeden Carrington,G,34,0,18.1,2.5,6.1,0.408,2.0,5.1,0.401,0.4,1.0,0.441,0.575,1.3,1.7,0.772,0.6,1.9,2.4,1.1,0.4,0.3,0.5,1.4,8.3,
6.0,Andrew Rohde,G,34,34,26.4,1.9,5.4,0.363,1.2,3.9,0.318,0.7,1.5,0.48,0.478,0.6,0.8,0.778,0.6,1.5,2.1,2.9,1.2,0.2,1.1,2.3,5.7,
7.0,Aleksas Bieliauskas,F,35,28,20.1,1.8,4.1,0.431,0.8,2.3,0.346,1.0,1.8,0.54,0.528,0.5,0.9,0.633,1.5,2.9,4.4,0.9,0.2,0.6,0.8,2.2,4.9,
8.0,Jack Janicki,G,26,1,16.5,0.8,2.5,0.323,0.5,1.8,0.277,0.3,0.7,0.444,0.423,0.1,0.2,0.6,0.6,1.3,2.0,1.1,0.7,0.2,0.6,1.7,2.2,
9.0,Hayden Jones,G,27,1,7.2,0.6,1.0,0.615,0.0,0.1,0.5,0.6,0.9,0.625,0.635,0.4,0.8,0.545,0.4,0.7,1.0,0.4,0.2,0.1,0.5,0.9,1.7,
10.0,Zach Kinziger,G,16,0,4.9,0.5,1.6,0.32,0.3,1.0,0.25,0.3,0.6,0.444,0.4,0.1,0.1,0.5,0.0,0.3,0.3,0.6,0.3,0.0,0.1,0.8,1.3,
11.0,Will Garlock,F,30,0,6.7,0.4,0.6,0.722,0.0,0.0,,0.4,0.6,0.722,0.722,0.2,0.5,0.4,0.4,0.7,1.1,0.7,0.1,0.2,0.4,1.4,1.1,
12.0,Jack Robison,F,17,0,1.8,0.4,0.5,0.75,0.2,0.2,0.75,0.2,0.2,0.75,0.938,0.1,0.2,0.667,0.1,0.4,0.5,0.1,0.1,0.1,0.2,0.1,1.0,
13.0,Isaac Gard,G,14,0,1.1,0.2,0.5,0.429,0.2,0.4,0.5,0.0,0.1,0.0,0.643,0.1,0.1,1.0,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1,0.8,
14.0,Riccardo Greppi,F,14,0,1.3,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.3,0.1,0.4,0.1,0.0,0.0,0.1,0.0,0.0,
,Team Totals,,35,35,202.9,27.9,62.0,0.45,11.7,32.3,0.362,16.3,29.7,0.547,0.545,15.4,19.5,0.788,10.3,25.3,35.5,16.0,5.6,3.1,9.0,17.0,83.0,
